Dataset,Model,Accuracy,Precision,Recall,F-Score,ROC-AUC
JM1,AdaBoost_RF,0.781,0.764,0.781,0.77,0.63
JM1,AdaBoost_DS,0.699,0.722,0.699,0.709,0.582
JM1,AdaBoost_SVM,0.0,0.0,0.0,0.0,0.0
JM1,AdaBoost_LR,0.718,0.754,0.718,0.732,0.686
KC3,AdaBoost_RF,0.804,0.812,0.804,0.799,0.672
KC3,AdaBoost_DS,0.789,0.82,0.789,0.795,0.704
KC3,AdaBoost_SVM,0.649,0.75,0.649,0.669,0.623
KC3,AdaBoost_LR,0.717,0.783,0.717,0.737,0.739
MC1,AdaBoost_RF,0.979,0.976,0.979,0.977,0.625
MC1,AdaBoost_DS,0.956,0.971,0.956,0.963,0.595
MC1,AdaBoost_SVM,0.831,0.973,0.831,0.893,0.672
MC1,AdaBoost_LR,0.773,0.974,0.773,0.855,0.776
MC2,AdaBoost_RF,0.71,0.721,0.71,0.706,0.665
MC2,AdaBoost_DS,0.726,0.75,0.726,0.725,0.696
MC2,AdaBoost_SVM,0.687,0.706,0.687,0.68,0.739
MC2,AdaBoost_LR,0.654,0.687,0.654,0.65,0.712
MW1,AdaBoost_RF,0.844,0.875,0.844,0.848,0.558
MW1,AdaBoost_DS,0.8,0.857,0.8,0.822,0.558
MW1,AdaBoost_SVM,0.828,0.897,0.828,0.855,0.758
MW1,AdaBoost_LR,0.8,0.892,0.8,0.835,0.73
PC1,AdaBoost_RF,0.91,0.914,0.91,0.91,0.687
PC1,AdaBoost_DS,0.862,0.889,0.862,0.873,0.656
PC1,AdaBoost_SVM,0.8,0.898,0.8,0.838,0.785
PC1,AdaBoost_LR,0.779,0.921,0.779,0.829,0.821
PC2,AdaBoost_RF,0.964,0.96,0.964,0.962,0.592
PC2,AdaBoost_DS,0.943,0.961,0.943,0.951,0.498
PC2,AdaBoost_SVM,0.759,0.965,0.759,0.843,0.779
PC2,AdaBoost_LR,0.813,0.964,0.813,0.876,0.812
PC3,AdaBoost_RF,0.844,0.855,0.844,0.849,0.665
PC3,AdaBoost_DS,0.811,0.835,0.811,0.821,0.631
PC3,AdaBoost_SVM,0.741,0.87,0.741,0.782,0.763
PC3,AdaBoost_LR,0.751,0.863,0.751,0.789,0.785
PC4,AdaBoost_RF,0.906,0.913,0.906,0.908,0.827
PC4,AdaBoost_DS,0.864,0.877,0.864,0.868,0.763
PC4,AdaBoost_SVM,0.796,0.877,0.796,0.822,0.872
PC4,AdaBoost_LR,0.828,0.882,0.828,0.846,0.88
PC5,AdaBoost_RF,0.757,0.755,0.757,0.755,0.684
PC5,AdaBoost_DS,0.717,0.731,0.717,0.722,0.663
PC5,AdaBoost_SVM,0.71,0.734,0.71,0.716,0.707
PC5,AdaBoost_LR,0.695,0.738,0.695,0.707,0.748
