Dataset,Model,Accuracy,Precision,Recall,F-Score,ROC-AUC
JM1,Bagging_RF,0.776,0.767,0.776,0.771,0.718
JM1,Bagging_DS,0.766,0.741,0.766,0.75,0.672
JM1,Bagging_SVM,0.206,0.308,0.206,0.079,0.491
JM1,Bagging_LR,0.688,0.755,0.688,0.711,0.693
KC3,Bagging_RF,0.799,0.834,0.799,0.796,0.774
KC3,Bagging_DS,0.809,0.824,0.809,0.803,0.768
KC3,Bagging_SVM,0.754,0.798,0.754,0.768,0.761
KC3,Bagging_LR,0.744,0.809,0.744,0.762,0.749
MC1,Bagging_RF,0.978,0.977,0.978,0.977,0.87
MC1,Bagging_DS,0.965,0.971,0.965,0.968,0.656
MC1,Bagging_SVM,0.508,0.973,0.508,0.651,0.703
MC1,Bagging_LR,0.817,0.974,0.817,0.883,0.76
MC2,Bagging_RF,0.719,0.735,0.719,0.713,0.748
MC2,Bagging_DS,0.703,0.702,0.703,0.682,0.749
MC2,Bagging_SVM,0.646,0.689,0.646,0.648,0.714
MC2,Bagging_LR,0.647,0.705,0.647,0.649,0.737
MW1,Bagging_RF,0.844,0.885,0.844,0.857,0.692
MW1,Bagging_DS,0.848,0.847,0.848,0.845,0.567
MW1,Bagging_SVM,0.78,0.882,0.78,0.819,0.706
MW1,Bagging_LR,0.772,0.887,0.772,0.814,0.737
PC1,Bagging_RF,0.897,0.911,0.897,0.903,0.882
PC1,Bagging_DS,0.895,0.896,0.895,0.895,0.857
PC1,Bagging_SVM,0.831,0.91,0.831,0.861,0.853
PC1,Bagging_LR,0.841,0.921,0.841,0.87,0.863
PC2,Bagging_RF,0.961,0.962,0.961,0.961,0.856
PC2,Bagging_DS,0.953,0.958,0.953,0.955,0.786
PC2,Bagging_SVM,0.821,0.97,0.821,0.883,0.751
PC2,Bagging_LR,0.817,0.97,0.817,0.88,0.75
PC3,Bagging_RF,0.829,0.859,0.829,0.841,0.841
PC3,Bagging_DS,0.824,0.838,0.824,0.83,0.801
PC3,Bagging_SVM,0.703,0.875,0.703,0.753,0.813
PC3,Bagging_LR,0.754,0.873,0.754,0.793,0.82
PC4,Bagging_RF,0.897,0.913,0.897,0.902,0.932
PC4,Bagging_DS,0.886,0.898,0.886,0.89,0.919
PC4,Bagging_SVM,0.812,0.892,0.812,0.836,0.902
PC4,Bagging_LR,0.828,0.891,0.828,0.848,0.903
PC5,Bagging_RF,0.766,0.772,0.766,0.768,0.816
PC5,Bagging_DS,0.767,0.76,0.767,0.761,0.796
PC5,Bagging_SVM,0.475,0.734,0.475,0.469,0.705
PC5,Bagging_LR,0.671,0.744,0.671,0.688,0.755
