Dataset,Model,Accuracy,Precision,Recall,F-Score,ROC-AUC
JM1,RF,0.783,0.765,0.783,0.771,0.714
JM1,DS,0.7,0.719,0.7,0.709,0.577
JM1,SVM,0.352,0.576,0.352,0.273,0.54
JM1,LR,0.692,0.756,0.692,0.714,0.693
KC3,RF,0.799,0.807,0.799,0.789,0.764
KC3,DS,0.758,0.812,0.758,0.772,0.675
KC3,SVM,0.759,0.799,0.759,0.769,0.762
KC3,LR,0.728,0.8,0.728,0.75,0.755
MC1,RF,0.978,0.976,0.978,0.976,0.877
MC1,DS,0.957,0.972,0.957,0.964,0.615
MC1,SVM,0.5,0.971,0.5,0.629,0.634
MC1,LR,0.824,0.974,0.824,0.888,0.761
MC2,RF,0.678,0.702,0.678,0.67,0.732
MC2,DS,0.679,0.716,0.679,0.68,0.659
MC2,SVM,0.678,0.719,0.678,0.682,0.733
MC2,LR,0.646,0.696,0.646,0.647,0.727
MW1,RF,0.852,0.881,0.852,0.858,0.64
MW1,DS,0.784,0.85,0.784,0.811,0.548
MW1,SVM,0.772,0.886,0.772,0.815,0.688
MW1,LR,0.784,0.894,0.784,0.825,0.742
PC1,RF,0.913,0.916,0.913,0.913,0.884
PC1,DS,0.87,0.89,0.87,0.877,0.67
PC1,SVM,0.814,0.912,0.814,0.851,0.845
PC1,LR,0.839,0.918,0.839,0.868,0.864
PC2,RF,0.965,0.958,0.965,0.961,0.848
PC2,DS,0.933,0.961,0.933,0.946,0.493
PC2,SVM,0.825,0.966,0.825,0.885,0.725
PC2,LR,0.817,0.968,0.817,0.88,0.744
PC3,RF,0.838,0.846,0.838,0.841,0.835
PC3,DS,0.808,0.835,0.808,0.82,0.626
PC3,SVM,0.704,0.858,0.704,0.752,0.783
PC3,LR,0.755,0.873,0.755,0.793,0.818
PC4,RF,0.898,0.902,0.898,0.899,0.933
PC4,DS,0.867,0.879,0.867,0.871,0.762
PC4,SVM,0.798,0.891,0.798,0.826,0.894
PC4,LR,0.823,0.888,0.823,0.844,0.898
PC5,RF,0.769,0.767,0.769,0.767,0.814
PC5,DS,0.726,0.74,0.726,0.731,0.676
PC5,SVM,0.546,0.727,0.546,0.545,0.714
PC5,LR,0.684,0.751,0.684,0.7,0.758
