Dataset,AdaBoost_DS,AdaBoost_LR,AdaBoost_RF,AdaBoost_SVM,Bagging_DS,Bagging_LR,Bagging_RF,Bagging_SVM,DS,LR,RF,SVM
JM1,0.709,0.732,0.77,0.0,0.75,0.711,0.771,0.079,0.709,0.714,0.771,0.273
KC3,0.795,0.737,0.799,0.669,0.803,0.762,0.796,0.768,0.772,0.75,0.789,0.769
MC1,0.963,0.855,0.977,0.893,0.968,0.883,0.977,0.651,0.964,0.888,0.976,0.629
MC2,0.725,0.65,0.706,0.68,0.682,0.649,0.713,0.648,0.68,0.647,0.67,0.682
MW1,0.822,0.835,0.848,0.855,0.845,0.814,0.857,0.819,0.811,0.825,0.858,0.815
PC1,0.873,0.829,0.91,0.838,0.895,0.87,0.903,0.861,0.877,0.868,0.913,0.851
PC2,0.951,0.876,0.962,0.843,0.955,0.88,0.961,0.883,0.946,0.88,0.961,0.885
PC3,0.821,0.789,0.849,0.782,0.83,0.793,0.841,0.753,0.82,0.793,0.841,0.752
PC4,0.868,0.846,0.908,0.822,0.89,0.848,0.902,0.836,0.871,0.844,0.899,0.826
PC5,0.722,0.707,0.755,0.716,0.761,0.688,0.768,0.469,0.731,0.7,0.767,0.545
