Dataset,AdaBoost_DS,AdaBoost_LR,AdaBoost_RF,AdaBoost_SVM,Bagging_DS,Bagging_LR,Bagging_RF,Bagging_SVM,DS,LR,RF,SVM
JM1,0.722,0.754,0.764,0.0,0.741,0.755,0.767,0.308,0.719,0.756,0.765,0.576
KC3,0.82,0.783,0.812,0.75,0.824,0.809,0.834,0.798,0.812,0.8,0.807,0.799
MC1,0.971,0.974,0.976,0.973,0.971,0.974,0.977,0.973,0.972,0.974,0.976,0.971
MC2,0.75,0.687,0.721,0.706,0.702,0.705,0.735,0.689,0.716,0.696,0.702,0.719
MW1,0.857,0.892,0.875,0.897,0.847,0.887,0.885,0.882,0.85,0.894,0.881,0.886
PC1,0.889,0.921,0.914,0.898,0.896,0.921,0.911,0.91,0.89,0.918,0.916,0.912
PC2,0.961,0.964,0.96,0.965,0.958,0.97,0.962,0.97,0.961,0.968,0.958,0.966
PC3,0.835,0.863,0.855,0.87,0.838,0.873,0.859,0.875,0.835,0.873,0.846,0.858
PC4,0.877,0.882,0.913,0.877,0.898,0.891,0.913,0.892,0.879,0.888,0.902,0.891
PC5,0.731,0.738,0.755,0.734,0.76,0.744,0.772,0.734,0.74,0.751,0.767,0.727
