Dataset,AdaBoost_DS,AdaBoost_LR,AdaBoost_RF,AdaBoost_SVM,Bagging_DS,Bagging_LR,Bagging_RF,Bagging_SVM,DS,LR,RF,SVM
JM1,0.582,0.686,0.63,0.0,0.672,0.693,0.718,0.491,0.577,0.693,0.714,0.54
KC3,0.704,0.739,0.672,0.623,0.768,0.749,0.774,0.761,0.675,0.755,0.764,0.762
MC1,0.595,0.776,0.625,0.672,0.656,0.76,0.87,0.703,0.615,0.761,0.877,0.634
MC2,0.696,0.712,0.665,0.739,0.749,0.737,0.748,0.714,0.659,0.727,0.732,0.733
MW1,0.558,0.73,0.558,0.758,0.567,0.737,0.692,0.706,0.548,0.742,0.64,0.688
PC1,0.656,0.821,0.687,0.785,0.857,0.863,0.882,0.853,0.67,0.864,0.884,0.845
PC2,0.498,0.812,0.592,0.779,0.786,0.75,0.856,0.751,0.493,0.744,0.848,0.725
PC3,0.631,0.785,0.665,0.763,0.801,0.82,0.841,0.813,0.626,0.818,0.835,0.783
PC4,0.763,0.88,0.827,0.872,0.919,0.903,0.932,0.902,0.762,0.898,0.933,0.894
PC5,0.663,0.748,0.684,0.707,0.796,0.755,0.816,0.705,0.676,0.758,0.814,0.714
