Dataset,AdaBoost_DS,AdaBoost_LR,AdaBoost_RF,AdaBoost_SVM,Bagging_DS,Bagging_LR,Bagging_RF,Bagging_SVM,DS,LR,RF,SVM
JM1,0.699,0.718,0.781,0.0,0.766,0.688,0.776,0.206,0.7,0.692,0.783,0.352
KC3,0.789,0.717,0.804,0.649,0.809,0.744,0.799,0.754,0.758,0.728,0.799,0.759
MC1,0.956,0.773,0.979,0.831,0.965,0.817,0.978,0.508,0.957,0.824,0.978,0.5
MC2,0.726,0.654,0.71,0.687,0.703,0.647,0.719,0.646,0.679,0.646,0.678,0.678
MW1,0.8,0.8,0.844,0.828,0.848,0.772,0.844,0.78,0.784,0.784,0.852,0.772
PC1,0.862,0.779,0.91,0.8,0.895,0.841,0.897,0.831,0.87,0.839,0.913,0.814
PC2,0.943,0.813,0.964,0.759,0.953,0.817,0.961,0.821,0.933,0.817,0.965,0.825
PC3,0.811,0.751,0.844,0.741,0.824,0.754,0.829,0.703,0.808,0.755,0.838,0.704
PC4,0.864,0.828,0.906,0.796,0.886,0.828,0.897,0.812,0.867,0.823,0.898,0.798
PC5,0.717,0.695,0.757,0.71,0.767,0.671,0.766,0.475,0.726,0.684,0.769,0.546
